ZIP_CODE,INCIDENT_DATE_TIME,Group_Count
10010.0,2015,2555
10033.0,2015,2523
11218.0,2015,2511
10018.0,2015,2455
11219.0,2015,2436
10030.0,2015,2409
10306.0,2015,2403
11231.0,2015,2383
11204.0,2015,2378
10012.0,2015,2365
10014.0,2015,2342
11355.0,2015,2276
10040.0,2015,2254
10305.0,2015,2091
10039.0,2015,2089
10312.0,2015,2076
11222.0,2015,2049
10034.0,2015,2021
11106.0,2015,2018
11413.0,2015,1989
11372.0,2015,1916
11419.0,2015,1872
10128.0,2015,1848
11420.0,2015,1827
11418.0,2015,1815
11367.0,2015,1786
11412.0,2015,1724
11365.0,2015,1721
11378.0,2015,1714
10028.0,2015,1630
11103.0,2015,1566
10038.0,2015,1562
11374.0,2015,1557
10303.0,2015,1557
11228.0,2015,1521
10310.0,2015,1493
11414.0,2015,1487
11357.0,2015,1486
11102.0,2015,1466
10037.0,2015,1413
10309.0,2015,1378
11422.0,2015,1367
11232.0,2015,1356
11417.0,2015,1321
11364.0,2015,1312
11423.0,2015,1307
11105.0,2015,1273
10471.0,2015,1253
11426.0,2015,1209
10308.0,2015,1204
10007.0,2015,1198
10474.0,2015,1187
11358.0,2015,1176
11421.0,2015,1161
11369.0,2015,1158
11379.0,2015,1158
11361.0,2015,1143
10302.0,2015,1128
11429.0,2015,1119
11411.0,2015,1111
11436.0,2015,1074
11694.0,2015,1071
11416.0,2015,1025
11239.0,2015,999
11692.0,2015,972
11360.0,2015,938
11427.0,2015,909
11693.0,2015,870
11362.0,2015,855
11356.0,2015,836
11104.0,2015,768
10004.0,2015,762
11415.0,2015,678
11370.0,2015,668
10470.0,2015,633
11428.0,2015,589
10307.0,2015,572
10005.0,2015,569
10006.0,2015,472
11366.0,2015,408
11004.0,2015,393
10464.0,2015,378
11363.0,2015,335
11430.0,2015,236
11697.0,2015,219
10280.0,2015,194
10020.0,2015,160
11005.0,2015,144
11251.0,2015,98
11371.0,2015,7
11451.0,2015,5
10044.0,2015,4
99999.0,2016,9932
10456.0,2016,8405
10029.0,2016,7372
11212.0,2016,7263
11206.0,2016,7087
11207.0,2016,7082
10002.0,2016,6574
11201.0,2016,6207
10451.0,2016,5955
10027.0,2016,5803
10457.0,2016,5590
10458.0,2016,5576
10467.0,2016,5551
11208.0,2016,5521
11233.0,2016,5476
10453.0,2016,5437
11226.0,2016,5380
11211.0,2016,5216
11221.0,2016,5209
10009.0,2016,4729
10025.0,2016,4706
11234.0,2016,4659
10452.0,2016,4609
11236.0,2016,4600
10035.0,2016,4558
10460.0,2016,4494
10454.0,2016,4435
10021.0,2016,4424
10003.0,2016,4395
10455.0,2016,4304
11213.0,2016,4292
10314.0,2016,4112
11203.0,2016,4083
11101.0,2016,4038
10016.0,2016,4025
10472.0,2016,3942
11224.0,2016,3876
10001.0,2016,3866
11691.0,2016,3838
10468.0,2016,3806
10019.0,2016,3794
10463.0,2016,3761
10469.0,2016,3710
11230.0,2016,3690
10032.0,2016,3665
10466.0,2016,3659
11385.0,2016,3608
10473.0,2016,3596
11235.0,2016,3592
11229.0,2016,3551
11216.0,2016,3530
