INCIDENT_DATE_TIME,ZIP_CODE,Group_Count
2013-01-04,10032.0,5
2013-01-04,10033.0,5
2013-01-04,10034.0,1
2013-01-04,10027.0,10
2013-01-04,10035.0,4
2013-01-04,10037.0,2
2013-01-04,10038.0,5
2013-01-04,10039.0,3
2013-01-04,10040.0,8
2013-01-04,10128.0,1
2013-01-04,10301.0,11
2013-01-04,10302.0,2
2013-01-04,10036.0,7
2013-01-04,10026.0,4
2013-01-04,10025.0,9
2013-01-04,10024.0,5
2013-01-04,10002.0,14
2013-01-04,10003.0,11
2013-01-04,10006.0,3
2013-01-04,10007.0,1
2013-01-04,10009.0,10
2013-01-04,10010.0,5
2013-01-04,10011.0,8
2013-01-04,10012.0,3
2013-01-04,10013.0,10
2013-01-04,10014.0,5
2013-01-04,10016.0,12
2013-01-04,10017.0,5
2013-01-04,10018.0,2
2013-01-04,10019.0,7
2013-01-04,10021.0,9
2013-01-04,10022.0,14
2013-01-04,10023.0,7
2013-01-04,10303.0,5
2013-01-04,10304.0,8
2013-01-04,10001.0,3
2013-01-04,10306.0,2
2013-01-04,10467.0,11
2013-01-04,10468.0,10
2013-01-04,10469.0,10
2013-01-04,10470.0,1
2013-01-04,10471.0,2
2013-01-04,10472.0,8
2013-01-04,10473.0,1
2013-01-04,10474.0,3
2013-01-04,10475.0,9
2013-01-04,11004.0,1
2013-01-04,11101.0,11
2013-01-04,11102.0,5
2013-01-04,11103.0,1
2013-01-04,11104.0,1
2013-01-04,11105.0,2
2013-01-04,11106.0,2
2013-01-04,10305.0,8
2013-01-04,10466.0,8
2013-01-04,10465.0,7
2013-01-04,11203.0,10
2013-01-04,10463.0,6
2013-01-04,10307.0,3
2013-01-04,10308.0,1
2013-01-04,10309.0,5
2013-01-04,10310.0,5
2013-01-04,10312.0,4
2013-01-04,10464.0,1
2013-01-04,10451.0,15
2013-01-04,10452.0,10
2013-01-04,10453.0,15
2013-01-04,10314.0,9
2013-01-04,10455.0,10
2013-01-04,10456.0,11
2013-01-04,10457.0,16
2013-01-04,10458.0,16
2013-01-04,10459.0,9
2013-01-04,10460.0,11
2013-01-04,10461.0,4
2013-01-04,10462.0,8
2013-01-04,10454.0,18
2013-01-05,11228.0,3
2013-01-05,11229.0,8
2013-01-05,11230.0,4
2013-01-05,11231.0,1
2013-01-05,11232.0,1
2013-01-05,11233.0,14
2013-01-05,11234.0,11
2013-01-05,11356.0,1
2013-01-05,11236.0,15
2013-01-05,11237.0,4
2013-01-05,11238.0,8
2013-01-05,11239.0,2
2013-01-05,11251.0,1
2013-01-05,11354.0,6
2013-01-05,11355.0,6
2013-01-05,11235.0,9
2013-01-05,11226.0,16
2013-01-05,11217.0,6
2013-01-05,11224.0,7
2013-01-05,11206.0,11
2013-01-05,11207.0,24
2013-01-05,11208.0,11
2013-01-05,11209.0,7
2013-01-05,11210.0,4
2013-01-05,11211.0,10
2013-01-05,11212.0,17
2013-01-05,11213.0,8
2013-01-05,11225.0,6
2013-01-05,11214.0,6
2013-01-05,11216.0,7
2013-01-05,11357.0,5
2013-01-05,11218.0,3
2013-01-05,11219.0,4
2013-01-05,11220.0,11
2013-01-05,11221.0,11
2013-01-05,11222.0,5
2013-01-05,11223.0,5
2013-01-05,11215.0,4
2013-01-05,11358.0,2
2013-01-05,11374.0,3
2013-01-05,11362.0,1
2013-01-05,11423.0,1
2013-01-05,11426.0,4
2013-01-05,11427.0,1
2013-01-05,11429.0,3
2013-01-05,11430.0,2
2013-01-05,11432.0,6
2013-01-05,11433.0,11
2013-01-05,11422.0,4
2013-01-05,11434.0,10
2013-01-05,11436.0,1
2013-01-05,11691.0,9
2013-01-05,11692.0,3
2013-01-05,11693.0,2
2013-01-05,11694.0,6
2013-01-05,99999.0,11
2013-01-05,11205.0,5
2013-01-05,11435.0,12
2013-01-05,11420.0,4
2013-01-05,11419.0,3
2013-01-05,11418.0,6
2013-01-05,11364.0,3
2013-01-05,11365.0,3
2013-01-05,11367.0,9
2013-01-05,11368.0,3
2013-01-05,11369.0,4
2013-01-05,11372.0,4
2013-01-05,11373.0,6
2013-01-05,11375.0,11
2013-01-05,11377.0,14
2013-01-05,11378.0,3
2013-01-05,11379.0,2
2013-01-05,11385.0,13
2013-01-05,11411.0,1
2013-01-05,11412.0,5
2013-01-05,11413.0,7
2013-01-05,11414.0,5
2013-01-05,11416.0,3
2013-01-05,11361.0,2
2013-01-05,11415.0,3
2013-01-05,11204.0,5
2013-01-05,11201.0,14
2013-01-05,10025.0,9
2013-01-05,10026.0,8
2013-01-05,10027.0,13
2013-01-05,10028.0,2
2013-01-05,10029.0,19
2013-01-05,10030.0,8
2013-01-05,10031.0,6
2013-01-05,10023.0,8
2013-01-05,10032.0,2
2013-01-05,10034.0,1
2013-01-05,10035.0,7
2013-01-05,10036.0,11
2013-01-05,10037.0,3
2013-01-05,10038.0,1
2013-01-05,10039.0,9
2013-01-05,10040.0,6
2013-01-05,10033.0,4
2013-01-05,10128.0,3
2013-01-05,10022.0,7
2013-01-05,10019.0,6
2013-01-05,11203.0,11
2013-01-05,10001.0,5
2013-01-05,10002.0,9
2013-01-05,10003.0,9
2013-01-05,10004.0,1
2013-01-05,10005.0,2
2013-01-05,10007.0,3
2013-01-05,10021.0,8
2013-01-05,10009.0,11
2013-01-05,10011.0,7
2013-01-05,10012.0,9
2013-01-05,10013.0,7
2013-01-05,10014.0,4
2013-01-05,10016.0,11
2013-01-05,10017.0,3
2013-01-05,10018.0,4
2013-01-05,10010.0,5
2013-01-05,10301.0,4
2013-01-05,10024.0,6
2013-01-05,10304.0,8
2013-01-05,10464.0,1
2013-01-05,10465.0,8
2013-01-05,10466.0,9
2013-01-05,10467.0,18
2013-01-05,10468.0,6
2013-01-05,10469.0,11
2013-01-05,10472.0,6
2013-01-05,10473.0,7
2013-01-05,10474.0,2
2013-01-05,10475.0,8
2013-01-05,11101.0,7
2013-01-05,11102.0,2
2013-01-05,11103.0,2
2013-01-05,11104.0,3
2013-01-05,11105.0,7
2013-01-05,10302.0,1
2013-01-05,11106.0,3
2013-01-05,10463.0,5
2013-01-05,10462.0,13
2013-01-05,10471.0,1
2013-01-05,10306.0,9
2013-01-05,10305.0,5
2013-01-05,10461.0,6
2013-01-05,10307.0,2
2013-01-05,10309.0,3
2013-01-05,10310.0,3
2013-01-05,10312.0,6
2013-01-05,10451.0,16
2013-01-05,10452.0,12
2013-01-05,10314.0,14
2013-01-05,10454.0,12
2013-01-05,10455.0,10
2013-01-05,10456.0,17
2013-01-05,10457.0,10
2013-01-05,10458.0,10
2013-01-05,10459.0,10
2013-01-05,10460.0,12
2013-01-05,10453.0,10
2013-01-06,11229.0,8
2013-01-06,11236.0,6
2013-01-06,11230.0,4
2013-01-06,11231.0,3
2013-01-06,11233.0,14
2013-01-06,11234.0,7
2013-01-06,11235.0,10
2013-01-06,11237.0,7
2013-01-06,11360.0,1
2013-01-06,11239.0,2
2013-01-06,11354.0,10
2013-01-06,11355.0,6
2013-01-06,11356.0,1
2013-01-06,11357.0,2
2013-01-06,11358.0,2
2013-01-06,11228.0,2
2013-01-06,11238.0,9
2013-01-06,11226.0,14
2013-01-06,11207.0,20
2013-01-06,11224.0,14
2013-01-06,11361.0,2
2013-01-06,11208.0,9
2013-01-06,11209.0,3
2013-01-06,11210.0,8
2013-01-06,11211.0,20
2013-01-06,11212.0,18
2013-01-06,11213.0,13
2013-01-06,11214.0,8
2013-01-06,11215.0,7
2013-01-06,11216.0,7
2013-01-06,11217.0,5
2013-01-06,11218.0,8
2013-01-06,11219.0,8
2013-01-06,11220.0,7
2013-01-06,11221.0,9
2013-01-06,11222.0,5
2013-01-06,11223.0,8
2013-01-06,11225.0,4
2013-01-06,11362.0,2
2013-01-06,99999.0,17
2013-01-06,11365.0,4
2013-01-06,11421.0,3
2013-01-06,11422.0,5
2013-01-06,11423.0,6
2013-01-06,11426.0,5
2013-01-06,11427.0,3
2013-01-06,11428.0,2
2013-01-06,11429.0,1
2013-01-06,11430.0,1
2013-01-06,11432.0,9
2013-01-06,11433.0,8
2013-01-06,11434.0,4
2013-01-06,11435.0,2
2013-01-06,11436.0,3
2013-01-06,11691.0,6
2013-01-06,11694.0,2
2013-01-06,11697.0,1
2013-01-06,11206.0,11
2013-01-06,11420.0,2
2013-01-06,11364.0,3
2013-01-06,11419.0,2
2013-01-06,11417.0,4
2013-01-06,11367.0,2
2013-01-06,11368.0,3
2013-01-06,11369.0,1
2013-01-06,11372.0,9
2013-01-06,11373.0,4
2013-01-06,11374.0,4
2013-01-06,11375.0,4
2013-01-06,11377.0,6
2013-01-06,11378.0,7
2013-01-06,11379.0,3
2013-01-06,11385.0,11
2013-01-06,11411.0,4
2013-01-06,11412.0,2
2013-01-06,11413.0,7
2013-01-06,11414.0,2
2013-01-06,11415.0,3
2013-01-06,11416.0,1
2013-01-06,11418.0,4
2013-01-06,11205.0,3
2013-01-06,11370.0,2
2013-01-06,11203.0,7
2013-01-06,10026.0,7
2013-01-06,10027.0,10
2013-01-06,10029.0,10
2013-01-06,10030.0,6
2013-01-06,10031.0,5
2013-01-06,10032.0,6
2013-01-06,10033.0,4
2013-01-06,10034.0,1
2013-01-06,10035.0,7
2013-01-06,10036.0,7
2013-01-06,10037.0,2
2013-01-06,10038.0,1
2013-01-06,10039.0,7
2013-01-06,10040.0,4
2013-01-06,10128.0,6
2013-01-06,10301.0,11
2013-01-06,10302.0,1
2013-01-06,10025.0,11
2013-01-06,10303.0,5
2013-01-06,10024.0,4
2013-01-06,10022.0,6
2013-01-06,10001.0,3
2013-01-06,10002.0,11
2013-01-06,10003.0,2
2013-01-06,10004.0,2
2013-01-06,10007.0,1
2013-01-06,10009.0,13
2013-01-06,10010.0,4
2013-01-06,10011.0,6
2013-01-06,10012.0,4
2013-01-06,10013.0,1
2013-01-06,10014.0,2
2013-01-06,10016.0,8
2013-01-06,10017.0,6
2013-01-06,10018.0,6
2013-01-06,10019.0,10
2013-01-06,10020.0,1
2013-01-06,10021.0,10
2013-01-06,10023.0,4
2013-01-06,10304.0,10
2013-01-06,11204.0,7
2013-01-06,10306.0,10
2013-01-06,10466.0,3
2013-01-06,10467.0,10
2013-01-06,10468.0,6
2013-01-06,10469.0,8
2013-01-06,10470.0,2
2013-01-06,10471.0,2
2013-01-06,10472.0,11
2013-01-06,10473.0,4
2013-01-06,10474.0,1
2013-01-06,10475.0,8
2013-01-06,11004.0,1
2013-01-06,11101.0,7
2013-01-06,11102.0,3
2013-01-06,11103.0,2
2013-01-06,11104.0,1
2013-01-06,11105.0,1
2013-01-06,11106.0,1
2013-01-06,10465.0,7
2013-01-06,10464.0,1
2013-01-06,11201.0,18
2013-01-06,10462.0,6
2013-01-06,10308.0,4
2013-01-06,10309.0,1
2013-01-06,10310.0,1
2013-01-06,10305.0,10
2013-01-06,10312.0,4
2013-01-06,10463.0,9
2013-01-06,10451.0,13
2013-01-06,10452.0,9
2013-01-06,10314.0,6
2013-01-06,10454.0,9
2013-01-06,10455.0,8
2013-01-06,10456.0,18
2013-01-06,10457.0,4
2013-01-06,10458.0,16
2013-01-06,10459.0,8
2013-01-06,10460.0,11
2013-01-06,10461.0,5
2013-01-06,10453.0,21
2013-01-07,11229.0,11
2013-01-07,11230.0,10
2013-01-07,11231.0,5
2013-01-07,11232.0,2
2013-01-07,11233.0,10
2013-01-07,11234.0,12
2013-01-07,11235.0,12
2013-01-07,11360.0,3
2013-01-07,11237.0,5
2013-01-07,11238.0,9
2013-01-07,11239.0,5
2013-01-07,11354.0,16
